taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene
5006, g__unclassified, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unclassified; s__unclassified; 5006; FJ975887.1 gg_id:534463 Human gut microbiome adopts alternative state bowel transplantation ileum effluent clone 14d77.656, FJ975887.1 gg_id:534463 Human gut microbiome adopts alternative state bowel transplantation ileum effluent clone 14d77.656
63406, g__unclassified, s__unclassified, p__Bacteroidetes, c__Flavobacteria, o__Flavobacteriales, f__Flavobacteriaceae,k__Bacteria; p__Bacteroidetes; c__Flavobacteria; o__Flavobacteriales; f__Flavobacteriaceae; g__unclassified; s__unclassified; 63406; GQ105630.1 gg_id:380715 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw529g06c1, GQ105630.1 gg_id:380715 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw529g06c1
42368, g__Actinomadura, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Thermomonosporaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura; s__unclassified; 42368; AF163119.1 gg_id:37892 Actinomadura pelletieri str. JCM3388T, AF163119.1 gg_id:37892 Actinomadura pelletieri str. JCM3388T
27850, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 27850; GQ449028.1 gg_id:575261 Microbiome neonatal calves: shedding microorganisms fecal clone calf783_6wks_grp1_H10, GQ449028.1 gg_id:575261 Microbiome neonatal calves: shedding microorganisms fecal clone calf783_6wks_grp1_H10
42517, g__Enterococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__unclassified; 42517; GQ155811.1 gg_id:566795 Human gut microbiome adopts alternative state bowel transplantation ileum intestinal transplant clone SHZH704, GQ155811.1 gg_id:566795 Human gut microbiome adopts alternative state bowel transplantation ileum intestinal transplant clone SHZH704
27587, g__Clostridium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__unclassified; 27587; DQ807168.1 gg_id:176088 human fecal clone RL244_aaj47b01, DQ807168.1 gg_id:176088 human fecal clone RL244_aaj47b01
18581, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 18581; EU844275.1 gg_id:356280 metagenomics random sampling pyrosequencing rumen fluid fiber adherent microbiome steer 64; 6 week 1 hour after feeding clone 1103200827855, EU844275.1 gg_id:356280 metagenomics random sampling pyrosequencing rumen fluid fiber adherent microbiome steer 64 6 week 1 hour after feeding clone 1103200827855
67525, g__Prevotella, s__unclassified, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__unclassified; 67525; EU344585.1 gg_id:277290 Foregut Fermentation Birds: Hoatzin Crop Supports Case Convergence Ruminants adult hoatzin crop clone hoa46_17A03, EU344585.1 gg_id:277290 Foregut Fermentation Birds: Hoatzin Crop Supports Case Convergence Ruminants adult hoatzin crop clone hoa46_17A03
22537, g__Oscillospira, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__unclassified; 22537; EU466225.1 gg_id:298036 bighorn sheep feces clone BH1_aao28d06, EU466225.1 gg_id:298036 bighorn sheep feces clone BH1_aao28d06
71174, g__Anaerococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiales Family XI. Incertae Sedis,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XI. Incertae Sedis; g__Anaerococcus; s__unclassified; 71174; GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1, GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1
24114, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 24114; EU456745.1 gg_id:303890 Innate immunity and intestinal microbiota Type 1 diabetes mouse cecum clone H77S1_81f07, EU456745.1 gg_id:303890 Innate immunity and intestinal microbiota Type 1 diabetes mouse cecum clone H77S1_81f07
66454, g__unclassified, s__unclassified, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__RikenellaceaeII,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__RikenellaceaeII; g__unclassified; s__unclassified; 66454; AJ488099.1 gg_id:66165 chlorobenzene-degrading consortium clone IIIB-28, AJ488099.1 gg_id:66165 chlorobenzene-degrading consortium clone IIIB-28
18471, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 18471; FJ673344.1 gg_id:513208 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301; was positive STEC O157 clone 130-2I1, FJ673344.1 gg_id:513208 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4262 pen 301 was positive STEC O157 clone 130-2I1
55377, g__Akkermansia, s__Akkermansia muciniphila, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__Akkermansia muciniphila; 55377; DQ803687.1 gg_id:177813 human fecal clone RL200_aai57b09, DQ803687.1 gg_id:177813 human fecal clone RL200_aai57b09
51599, g__sfA, s__unclassified, p__SC4, c__unclassified, o__unclassified, f__unclassified,k__Bacteria; p__SC4; c__unclassified; o__unclassified; f__unclassified; g__sfA; s__unclassified; 51599; GQ002367.1 gg_id:507292 Topographical and Temporal Human Skin Microbiome skin buttock clone nbu176f02c1, GQ002367.1 gg_id:507292 Topographical and Temporal Human Skin Microbiome skin buttock clone nbu176f02c1
44604, g__Streptococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__unclassified; 44604; GQ032269.1 gg_id:391176 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw904e05c1, GQ032269.1 gg_id:391176 Topographical and Temporal Human Skin Microbiome skin volar forearm clone nbw904e05c1
18860, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__unclassified; 18860; DQ905638.1 gg_id:167163 human fecal clone 014C-B3, DQ905638.1 gg_id:167163 human fecal clone 014C-B3
72946, g__Lactobacillus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__unclassified; 72946; GU299083.1 gg_id:534440 Lactobacillus casei str. NQ2-2, GU299083.1 gg_id:534440 Lactobacillus casei str. NQ2-2
24783, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 24783; FJ684991.1 gg_id:509638 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301; was negative STEC O157 clone 6-1L20, FJ684991.1 gg_id:509638 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301 was negative STEC O157 clone 6-1L20
50689, g__Olsenella, s__Olsenella profusa, p__Actinobacteria, c__Actinobacteria, o__Coriobacteriales, f__Coriobacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Olsenella; s__Olsenella profusa; 50689; FN178466.2 gg_id:515726 Olsenella profusa str. CCUG 45371, FN178466.2 gg_id:515726 Olsenella profusa str. CCUG 45371
25953, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 25953; FJ683338.1 gg_id:512733 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4351 pen 301; was negative STEC O157 clone 8-6G13, FJ683338.1 gg_id:512733 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4351 pen 301 was negative STEC O157 clone 8-6G13
44912, g__Streptococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__unclassified; 44912; GQ057669.1 gg_id:375780 Topographical and Temporal Human Skin Microbiome skin antecubital fossa clone nbw1067d06c1, GQ057669.1 gg_id:375780 Topographical and Temporal Human Skin Microbiome skin antecubital fossa clone nbw1067d06c1
21836, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__unclassified; s__unclassified; 21836; EU777851.1 gg_id:345556 European rabbit feces clone RA_b02_1, EU777851.1 gg_id:345556 European rabbit feces clone RA_b02_1
1969, g__Pseudomonas, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__unclassified; 1969; AF105390.1 gg_id:8640 Pseudomonas syringae 010297, AF105390.1 gg_id:8640 Pseudomonas syringae 010297
28005, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__unclassified; s__unclassified; 28005; EU463648.1 gg_id:288212 domesticated horse feces clone horsej_aai90d05, EU463648.1 gg_id:288212 domesticated horse feces clone horsej_aai90d05
