taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene,n_pairs_H,median_delta_H,p_H,p_H_adj,q80_rel_H,iqr_H,sd_H,p_PH,p_PH_adj,cliffs_delta_PH,HL_H_ok_adapt,prev_baseline_H,median_a_H,Cohort,Sex,Status
71174, g__Anaerococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiales Family XI. Incertae Sedis,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XI. Incertae Sedis; g__Anaerococcus; s__unclassified; 71174; GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1, GQ077116.1 gg_id:375675 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1207c04c1,4,229.5,0.375,1.0,0.05890790576530029,475.38749999999993,552.1000967442407,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,12015.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
73007, g__Lactobacillus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__unclassified; 73007; EU465367.1 gg_id:302089 lion feces clone LI3_aah76b05, EU465367.1 gg_id:302089 lion feces clone LI3_aah76b05,4,-157.0,1.0,1.0,0.09066376329648466,782.9949999999999,941.7164397347359,0.9047619047619049,0.9769758883945736,0.1,True,1.0,12419.5,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
22961, g__Butyrivibrio, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__unclassified; 22961; AF001728.1 gg_id:13939 rumen clone RCP17, AF001728.1 gg_id:13939 rumen clone RCP17,4,-86.5,0.875,1.0,0.05002895794829898,424.43499999999995,633.1719444721682,1.0,1.0,-0.1,True,1.0,12642.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
26831, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__unclassified; 26831; DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01, DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01,4,167.5,0.625,1.0,0.07806605829599142,975.935,832.6466470037976,1.0,1.0,0.0,True,1.0,12914.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
27275, g__Clostridium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__unclassified; 27275; DQ824440.1 gg_id:197356 human fecal clone RL304_aal76a10, DQ824440.1 gg_id:197356 human fecal clone RL304_aal76a10,4,70.0,0.25,1.0,0.06129761053616141,438.4324999999999,816.6738456844321,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,12979.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
5401, g__unclassified, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unclassified; s__unclassified; 5401; FJ608656.1 gg_id:566084 Klebsiella pneumoniae str. EP4, FJ608656.1 gg_id:566084 Klebsiella pneumoniae str. EP4,4,465.0,0.625,1.0,0.10332170908727892,1464.54,974.5629538242599,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,12209.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
24290, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 24290; DQ801572.1 gg_id:194536 human fecal clone RL117_aae91f06, DQ801572.1 gg_id:194536 human fecal clone RL117_aae91f06,4,401.0,1.0,1.0,0.0977725164694226,1197.5774999999999,1060.8041465597375,0.9047619047619049,0.9769758883945736,0.1,True,1.0,12855.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
37376, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 37376; FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05, FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05,4,152.0,0.625,1.0,0.054825644012409955,716.5474999999999,608.0336692089234,1.0,1.0,0.0,True,1.0,13254.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
71367, g__Catenibacterium, s__Catenibacterium mitsuokai, p__Tenericutes, c__Erysipelotrichi, o__Erysipelotrichales, f__Erysipelotrichaceae,k__Bacteria; p__Tenericutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__Catenibacterium mitsuokai; 71367; AB030222.1 gg_id:27171 Catenibacterium mitsuokai str. JCM 10607, AB030222.1 gg_id:27171 Catenibacterium mitsuokai str. JCM 10607,4,192.0,0.625,1.0,0.04318715552823406,886.56,543.357120256405,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,14325.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
18026, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 18026; DQ327057.1 gg_id:149210 Metagenomic gut microbiome healthy human stool clone E565, DQ327057.1 gg_id:149210 Metagenomic gut microbiome healthy human stool clone E565,4,-13.0,1.0,1.0,0.09991460847452002,995.6349999999999,1294.0962035593282,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,13587.5,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
25719, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 25719; FJ678787.1 gg_id:518372 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4017 pen 301; was positive STEC O157 clone 4-7I14, FJ678787.1 gg_id:518372 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4017 pen 301 was positive STEC O157 clone 4-7I14,4,-78.0,0.875,1.0,0.051244662794823745,407.1474999999999,707.2934487832235,1.0,1.0,0.0,True,1.0,14266.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
28181, g__unclassified, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__unclassified; s__unclassified; 28181; DQ905376.1 gg_id:168318 human fecal clone 013C-A6, DQ905376.1 gg_id:168318 human fecal clone 013C-A6,4,328.5,0.875,1.0,0.052746694180803105,663.4275,588.9503693507063,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,12042.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
25134, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 25134; FJ368893.1 gg_id:356750 feces adult twins and mothers; TS4 clone TS4_a01g09, FJ368893.1 gg_id:356750 feces adult twins and mothers TS4 clone TS4_a01g09,4,-112.5,1.0,1.0,0.12454676562094896,1463.3474999999999,1337.1230315214077,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,12431.5,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
42636, g__Enterococcus, s__unclassified, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__unclassified; 42636; FJ481129.1 gg_id:552330 Enterococcus faecalis str. RSCQ0, FJ481129.1 gg_id:552330 Enterococcus faecalis str. RSCQ0,4,82.5,0.625,1.0,0.0793778335270811,779.6824999999999,970.29661916258,1.0,1.0,0.0,True,1.0,13197.5,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
21649, g__Coprococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__unclassified; 21649; AJ229203.1 gg_id:38211 anoxic bulk soil flooded rice microcosm clone BSV51, AJ229203.1 gg_id:38211 anoxic bulk soil flooded rice microcosm clone BSV51,4,219.5,0.625,1.0,0.14197285725507813,1049.4325,1365.5711332228966,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,11798.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
70759, g__Anaerococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiales Family XI. Incertae Sedis,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XI. Incertae Sedis; g__Anaerococcus; s__unclassified; 70759; GQ094219.1 gg_id:411988 Topographical and Temporal Human Skin Microbiome skin alar crease clone nbw371c11c1, GQ094219.1 gg_id:411988 Topographical and Temporal Human Skin Microbiome skin alar crease clone nbw371c11c1,4,14.0,0.875,1.0,0.11661782814622004,754.4874999999998,1150.1204644550642,1.0,1.0,0.0,True,1.0,11116.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
19232, g__Dorea, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__unclassified; 19232; DQ327584.1 gg_id:150493 Metagenomic gut microbiome healthy human stool clone EB69, DQ327584.1 gg_id:150493 Metagenomic gut microbiome healthy human stool clone EB69,4,87.5,0.875,1.0,0.08670830537209175,1530.5,982.5817462854341,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,11415.5,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
710, g__Pseudomonas, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__unclassified; 710; AJ534672.1 gg_id:75843 ground water deep-well injection disposal site radioactive wastes Tomsk-7 clone S15A-MN7 proteobacterium, AJ534672.1 gg_id:75843 ground water deep-well injection disposal site radioactive wastes Tomsk-7 clone S15A-MN7 proteobacterium,4,43.5,0.875,1.0,0.04733102647614141,654.9975,543.1394981264021,0.9047619047619049,0.9769758883945736,-0.1,True,1.0,12353.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
58212, g__sfB, s__unclassified, p__Gemmatimonadetes, c__Gemmatimonadetes, o__unclassified, f__unclassified,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__unclassified; f__unclassified; g__sfB; s__unclassified; 58212; GQ346931.1 gg_id:591890 Metagenome versatile chemolithoautotroph expanding oceanic dead zones Saanich Inlet 100 m depth clone SGPZ560, GQ346931.1 gg_id:591890 Metagenome versatile chemolithoautotroph expanding oceanic dead zones Saanich Inlet 100 m depth clone SGPZ560,4,-62.5,1.0,1.0,0.06996934715954152,719.4624999999999,734.7166651789425,0.9047619047619049,0.9769758883945736,0.1,True,1.0,12064.0,Healthy,Female,Placebo-resistant (STRICT-ADAPTIVE)
