taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene,n_pairs_H,median_delta_H,p_H,p_H_adj,q80_rel_H,iqr_H,sd_H,p_PH,p_PH_adj,cliffs_delta_PH,HL_H_ok_adapt,prev_baseline_H,median_a_H,Cohort,Sex,Status
42123, g__Streptosporangium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptosporangiaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptosporangiaceae; g__Streptosporangium; s__unclassified; 42123; AF191733.1 gg_id:12095 Streptosporangium sp. str. 11007, AF191733.1 gg_id:12095 Streptosporangium sp. str. 11007,9,55.0,1.0,1.0,0.07842905792285713,642.0,535.2093001600194,0.7750513736700824,0.9376534160753778,0.08888888888888889,True,1.0,9500.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
4836, g__Salmonella, s__Salmonella enterica, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Salmonella; s__Salmonella enterica; 4836; EF604237.1 gg_id:227737 Salmonella typhimurium Exploits Inflammation Compete Intestinal Microbiota mouse cecum clone 16saw14-01f08.w2k926r, EF604237.1 gg_id:227737 Salmonella typhimurium Exploits Inflammation Compete Intestinal Microbiota mouse cecum clone 16saw14-01f08.w2k926r,9,21.0,0.91015625,1.0,0.05997358374092532,923.0,586.5680378078725,0.9025232501776794,0.9754023282151151,0.044444444444444446,True,1.0,12438.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
26831, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__unclassified; 26831; DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01, DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01,9,-293.0,1.0,1.0,0.09412278149670353,922.0,1257.3713491425053,0.7750513736700824,0.9376534160753778,0.08888888888888889,True,1.0,12629.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
30706, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 30706; GQ029398.1 gg_id:452300 Topographical and Temporal Human Skin Microbiome skin occiput clone nbw925e11c1, GQ029398.1 gg_id:452300 Topographical and Temporal Human Skin Microbiome skin occiput clone nbw925e11c1,9,-90.0,1.0,1.0,0.027240176567675262,257.0,282.9724998024445,0.9025232501776794,0.9754023282151151,-0.044444444444444446,True,1.0,12967.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
26317, g__Faecalibacterium, s__Faecalibacterium prausnitzii, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii; 26317; DQ800929.1 gg_id:181459 human fecal clone RL387_aao89d11, DQ800929.1 gg_id:181459 human fecal clone RL387_aao89d11,9,-12.0,0.8203125,1.0,0.03150551668190963,661.0,421.35969479768704,0.7750513736700824,0.9376534160753778,-0.08888888888888889,True,1.0,13948.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
50107, g__Dialister, s__Dialister invisus, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__Dialister invisus; 50107; GQ047238.1 gg_id:466398 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1010d04c1, GQ047238.1 gg_id:466398 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1010d04c1,9,-91.0,0.8203125,1.0,0.06014172585203817,809.0,562.8222248632333,0.967435545139537,0.9928887934220945,0.022222222222222223,True,1.0,13775.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
37376, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 37376; FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05, FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05,9,-304.0,0.734375,1.0,0.03789009255828657,676.0,431.43695751651956,0.6533789106936937,0.9002109436224224,0.13333333333333333,True,1.0,13509.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
25154, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 25154; FJ684396.1 gg_id:531731 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301; was negative STEC O157 clone 6-4L1, FJ684396.1 gg_id:531731 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301 was negative STEC O157 clone 6-4L1,9,263.0,0.515625,1.0,0.12899552661545463,851.0,1108.7945138953585,0.8382564863858263,0.9581536201140475,0.06666666666666667,True,1.0,12444.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
9117, g__Diaphorobacter, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__unclassified; 9117; GQ105786.1 gg_id:461385 Topographical and Temporal Human Skin Microbiome skin axillary vault clone nbw576c10c1, GQ105786.1 gg_id:461385 Topographical and Temporal Human Skin Microbiome skin axillary vault clone nbw576c10c1,9,121.0,0.91015625,1.0,0.061344047547198015,824.0,538.2122078800434,0.9025232501776794,0.9754023282151151,0.044444444444444446,True,1.0,11329.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
56360, g__Akkermansia, s__Akkermansia muciniphila, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__Akkermansia muciniphila; 56360; DQ805361.1 gg_id:180315 human fecal clone RL203_aai61f09, DQ805361.1 gg_id:180315 human fecal clone RL203_aai61f09,9,575.0,1.0,1.0,0.10924510884330817,1675.0,1208.6057285980405,0.9025232501776794,0.9754023282151151,0.044444444444444446,True,1.0,11129.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
17742, g__Roseburia, s__Eubacterium rectale, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__Eubacterium rectale; 17742; FJ364641.1 gg_id:367198 feces adult twins and mothers; TS19 clone TS19_a01d01, FJ364641.1 gg_id:367198 feces adult twins and mothers TS19 clone TS19_a01d01,9,-22.0,0.359375,1.0,0.05784007560230592,955.0,682.2823196041683,0.8382564863858263,0.9581536201140475,0.06666666666666667,True,1.0,13863.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
29861, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 29861; GQ037107.1 gg_id:390130 Topographical and Temporal Human Skin Microbiome skin occiput clone nbu388h11c1, GQ037107.1 gg_id:390130 Topographical and Temporal Human Skin Microbiome skin occiput clone nbu388h11c1,9,-49.0,0.8203125,1.0,0.022577902265958686,317.0,328.98336378066966,0.8382564863858263,0.9581536201140475,0.06666666666666667,True,1.0,13736.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
15014, g__unclassified, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Alcaligenaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__unclassified; s__unclassified; 15014; EF096018.1 gg_id:189188 mouse cecum clone lean2_aaa02b05, EF096018.1 gg_id:189188 mouse cecum clone lean2_aaa02b05,9,91.0,0.65234375,1.0,0.12687018459378857,1678.0,1219.3774882473615,1.0,1.0,0.0,True,1.0,11189.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
67207, g__Prevotella, s__unclassified, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__unclassified; 67207; GQ491487.1 gg_id:582564 Effect Diet on Human Gut Microbiome: Metagenomic Humanized Gnotobiotic Mice cecal contents Mus musculus strain C57BL/6J; PM3 clone PM3_a04e09, GQ491487.1 gg_id:582564 Effect Diet on Human Gut Microbiome: Metagenomic Humanized Gnotobiotic Mice cecal contents Mus musculus strain C57BL/6J PM3 clone PM3_a04e09,9,-45.0,0.8203125,1.0,0.09900047250500933,1303.0,1059.342591883182,0.6533789106936937,0.9002109436224224,0.13333333333333333,True,1.0,13647.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
71684, g__sfA, s__unclassified, p__Tenericutes, c__Mollicutes, o__RF39, f__unclassified,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__unclassified; g__sfA; s__unclassified; 71684; FJ440078.1 gg_id:567506 Megamonas hypermegale colonization correlates Campylobacter jejuni exclusion poultry cecal microbiota clone ABXD_V9, FJ440078.1 gg_id:567506 Megamonas hypermegale colonization correlates Campylobacter jejuni exclusion poultry cecal microbiota clone ABXD_V9,9,-346.0,0.734375,1.0,0.13715334790757439,1300.0,1336.104305509117,0.6533789106936937,0.9002109436224224,0.13333333333333333,True,1.0,13061.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
5362, g__Serratia, s__unclassified, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__unclassified; 5362; AM696788.1 gg_id:222984 sequencing libraries indoor dust clone BF0001A075, AM696788.1 gg_id:222984 sequencing libraries indoor dust clone BF0001A075,9,-122.0,0.65234375,1.0,0.1946936410848215,3736.0,1732.8020661345022,0.7750513736700824,0.9376534160753778,0.08888888888888889,True,1.0,11123.0,Healthy,Male,Placebo-resistant (STRICT-ADAPTIVE)
