taxon,Genus,Species,Phylum,Class,Order,Family,Lineage,rep_gene,n_pairs_P,median_delta_P,p_P,p_P_adj,q80_rel_P,iqr_P,sd_P,p_PH,p_PH_adj,cliffs_delta_PH,HL_P_ok_adapt,prev_baseline_P,median_a_P,Cohort,Sex,Status
42123, g__Streptosporangium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptosporangiaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptosporangiaceae; g__Streptosporangium; s__unclassified; 42123; AF191733.1 gg_id:12095 Streptosporangium sp. str. 11007, AF191733.1 gg_id:12095 Streptosporangium sp. str. 11007,10,-3.0,0.76953125,0.8836442490494296,0.04507152884866715,423.5,319.5441082420739,0.7750513736700824,0.9376534160753778,0.08888888888888889,True,1.0,9964.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
4836, g__Salmonella, s__Salmonella enterica, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Salmonella; s__Salmonella enterica; 4836; EF604237.1 gg_id:227737 Salmonella typhimurium Exploits Inflammation Compete Intestinal Microbiota mouse cecum clone 16saw14-01f08.w2k926r, EF604237.1 gg_id:227737 Salmonella typhimurium Exploits Inflammation Compete Intestinal Microbiota mouse cecum clone 16saw14-01f08.w2k926r,10,30.5,0.556640625,0.7914449891791329,0.05843019025792135,901.0,516.1846569946327,0.9025232501776794,0.9754023282151151,0.044444444444444446,True,1.0,12509.5,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
26831, g__Ruminococcus, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__unclassified; 26831; DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01, DQ801034.1 gg_id:182668 human fecal clone RL387_aao91c01,10,104.0,0.6953125,0.848255880244983,0.07100706647110504,499.25,1246.8889938514085,0.7750513736700824,0.9376534160753778,0.08888888888888889,True,1.0,13266.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
30706, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 30706; GQ029398.1 gg_id:452300 Topographical and Temporal Human Skin Microbiome skin occiput clone nbw925e11c1, GQ029398.1 gg_id:452300 Topographical and Temporal Human Skin Microbiome skin occiput clone nbw925e11c1,10,60.0,0.76953125,0.8836442490494296,0.015008340838751957,191.25,214.70324011424594,0.9025232501776794,0.9754023282151151,-0.044444444444444446,True,1.0,13081.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
26317, g__Faecalibacterium, s__Faecalibacterium prausnitzii, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii; 26317; DQ800929.1 gg_id:181459 human fecal clone RL387_aao89d11, DQ800929.1 gg_id:181459 human fecal clone RL387_aao89d11,10,126.5,0.6953125,0.848255880244983,0.02237787320308394,296.25,386.22810048093487,0.7750513736700824,0.9376534160753778,-0.08888888888888889,True,1.0,13990.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
50107, g__Dialister, s__Dialister invisus, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__Dialister invisus; 50107; GQ047238.1 gg_id:466398 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1010d04c1, GQ047238.1 gg_id:466398 Topographical and Temporal Human Skin Microbiome skin buttock clone nbw1010d04c1,10,-95.0,1.0,1.0,0.02736810974954809,456.75,431.5202145644834,0.967435545139537,0.9928887934220945,0.022222222222222223,True,1.0,11926.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
37376, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 37376; FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05, FM873770.1 gg_id:358127 occupant source house mattress dust clone MA04D05,10,155.0,0.4921875,0.7635226801988401,0.04239965274409459,327.5,419.9981056518126,0.6533789106936937,0.9002109436224224,0.13333333333333333,True,1.0,13106.5,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
25154, g__Faecalibacterium, s__unclassified, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__unclassified; 25154; FJ684396.1 gg_id:531731 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301; was negative STEC O157 clone 6-4L1, FJ684396.1 gg_id:531731 Synecology primary and secondary habitats Escherichia coli O157:H7 fecal MARC beef cattle feedlot animal #4228 pen 301 was negative STEC O157 clone 6-4L1,10,238.0,0.232421875,0.7315836036008729,0.06533990512522528,430.0,1002.3369718152563,0.8382564863858263,0.9581536201140475,0.06666666666666667,True,1.0,12869.5,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
9117, g__Diaphorobacter, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Diaphorobacter; s__unclassified; 9117; GQ105786.1 gg_id:461385 Topographical and Temporal Human Skin Microbiome skin axillary vault clone nbw576c10c1, GQ105786.1 gg_id:461385 Topographical and Temporal Human Skin Microbiome skin axillary vault clone nbw576c10c1,10,97.5,0.322265625,0.7315836036008729,0.051073592896839916,192.5,501.8281935848829,0.9025232501776794,0.9754023282151151,0.044444444444444446,True,1.0,11175.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
56360, g__Akkermansia, s__Akkermansia muciniphila, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__Akkermansia muciniphila; 56360; DQ805361.1 gg_id:180315 human fecal clone RL203_aai61f09, DQ805361.1 gg_id:180315 human fecal clone RL203_aai61f09,10,133.5,0.431640625,0.7455067855825108,0.07503644215354037,737.0,707.3497766868164,0.9025232501776794,0.9754023282151151,0.044444444444444446,True,1.0,9069.5,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
17742, g__Roseburia, s__Eubacterium rectale, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__Eubacterium rectale; 17742; FJ364641.1 gg_id:367198 feces adult twins and mothers; TS19 clone TS19_a01d01, FJ364641.1 gg_id:367198 feces adult twins and mothers TS19 clone TS19_a01d01,10,86.5,0.6953125,0.848255880244983,0.04578453909235223,607.75,468.57584850860115,0.8382564863858263,0.9581536201140475,0.06666666666666667,True,1.0,13874.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
29861, g__Corynebacterium, s__unclassified, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__unclassified; 29861; GQ037107.1 gg_id:390130 Topographical and Temporal Human Skin Microbiome skin occiput clone nbu388h11c1, GQ037107.1 gg_id:390130 Topographical and Temporal Human Skin Microbiome skin occiput clone nbu388h11c1,10,-20.0,0.625,0.8184138750961605,0.016588687255717785,160.0,209.71647149849196,0.8382564863858263,0.9581536201140475,0.06666666666666667,True,1.0,13884.0,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
15014, g__unclassified, s__unclassified, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Alcaligenaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__unclassified; s__unclassified; 15014; EF096018.1 gg_id:189188 mouse cecum clone lean2_aaa02b05, EF096018.1 gg_id:189188 mouse cecum clone lean2_aaa02b05,10,497.5,0.556640625,0.7914449891791329,0.09868043114759419,1277.0,1136.4111306291302,1.0,1.0,0.0,True,1.0,10839.5,FMF,Male,Placebo-resistant (STRICT-ADAPTIVE)
